Department,Course Name,Description,Type,Skill Required,Field Interest,Career Paths,Industry Sectors,Stress Level,stress_numeric
cse, Robotics Science and Systems ,provides foundational knowledge practical skill robotic system student learn microcontroller usage sensor integration motor control vision processing advanced concept include slam inverse kinematics manipulation technique hand project emphasize real world application ensuring acquire both theoretical understanding implementation capability,practical analytical research,python embedded programming computer vision control system linear algebra robotics critical thinking problem solving project management team collaboration innovation arduino raspberry ro opencv matlab gazebo solidworks,robotics mechatronics embedded system artificial intelligence automation control engineering,robotics engineer automation embedded system developer research scientist mechatronics,technology manufacturing automotive aerospace healthcare,High,3
cse,Bio-molecular Sequence Structure Analysis ,cover computational technique analyzing biological sequence molecular structure student explore scoring matrix homology search tool phylogenetic method topic include gene prediction using hidden markov model protein structure bioinformatics database management,analytical research practical,python bioinformatics statistic machine learning molecular biology data analysis analytical thinking research skill interpretation scientific writing attention detail biopython bioconductor blast fasta pymol chimera galaxy,bioinformatics computational biology genomics proteomics molecular drug discovery,bioinformatics scientist computational biologist genomics researcher pharmaceutical analyst biotech data,biotechnology pharmaceutical healthcare research institute government lab,High,3
cse, Introduction to Machine Learning ,introduces fundamental machine learning concept exploring supervised unsupervised methodology student learn regression classification clustering dimensionality reduction technique advanced topic include neural network deep ensemble method practical implementation experience,analytical mathematical practical,python machine learning statistic linear algebra data mining neural network deep analytical thinking problem solving critical reasoning mathematical communication scikit learn tensorflow kera panda numpy jupyter,artificial intelligence data science machine learning statistic computer vision natural language processing,data scientist machine learning engineer research business analyst software,technology finance healthcare commerce consulting,High,3
cse, Information Retrieval ,focus design implementation information retrieval system topic include indexing query processing ranking algorithm search engine architecture student learn about web crawling text preprocessing evaluation metric,practical analytical technical,python java information retrieval database system web technology natural language processing algorithm problem solving system design analytical thinking communication project management elasticsearch solr lucene mongodb postgresql apache spark kibana,information retrieval web search database system natural language processing big data content management,search engineer information architect backend developer data product manager,technology commerce medium education government,Medium,2
cse, Introduction to VLSI Design ,introduces very large scale integration design principle methodology student learn digital circuit layout technique semiconductor device physic topic include cmos technology timing analysis verification using industry standard tool,technical practical,vhdl verilog digital design circuit analysis semiconductor physic layout timing attention detail problem solving precision logical thinking patience cadence synopsys mentor graphic spice quartus vivado modelsim,vlsi design digital electronics semiconductor technology embedded system hardware,vlsi design engineer chip hardware semiconductor verification,semiconductor electronics telecommunication automotive consumer,High,3
cse, Algorithm Engineering ,cover advanced algorithm design analysis technique student learn dynamic programming graph algorithm optimization method complexity emphasis placed practical implementation performance algorithmic solution,mathematical analytical practical,data structure algorithm programming complexity analysis graph theory dynamic optimization logical thinking problem solving mathematical reasoning analytical skill persistence python java git profiling tool algorithm visualizer ides,computer science theory software engineering competitive programming research system optimization,software engineer algorithm developer system analyst research scientist technical consultant,technology finance research gaming telecommunication,Medium,2
cse, Software Requirements Specification and Analysis ,focus software requirement engineering system analysis student learn elicitation specification validation technique topic include use case modeling stakeholder traceability,analytical theoritical practical,requirement engineering system analysis uml business documentation process modeling communication analytical thinking stakeholder management writing negotiation empathy tool jira confluence visio prototyping,software engineering business analysis project management system design quality assurance,business analyst requirement product manager system project,technology consulting finance healthcare government,Low,1
cse, Cryptography and Security ,cover fundamental cryptographic principle security protocol student learn symmetric asymmetric encryption digital signature hash function application topic include network authentication system attack,mathematical analytical security,cryptography network security mathematics programming protocol risk assessment analytical thinking attention detail problem solving ethical reasoning continuous learning openssl wireshark metasploit kali linux scanner cryptographic library,cybersecurity information security network cryptography privacy protection,security analyst cryptography engineer cybersecurity specialist information manager penetration tester,cybersecurity finance government healthcare defense,High,3
cse, Computer Graphics ,introduces computer graphic principle modeling visualization technique student learn rendering algorithm geometric transformation interactive programming topic include ray tracing texture mapping animation fundamental,mathematical practical,computer graphic mathematics programming linear algebra rendering animation image processing creativity visual thinking problem solving attention detail artistic sense opengl directx unity blender maya photoshop three,computer graphic game development animation visualization multimedia virtual reality,graphic programmer game developer artist visualization specialist designer,gaming entertainment medium architecture simulation,Medium,2
cse, Mathematics for Robotics ,advanced mathematical foundation covering linear equation polynomial interpolation nonlinear optimization calculus variation probability stochastic process computational geometry differential essential background robotics autonomous system development,mathematical analytical theoretical,advanced mathematics linear algebra calculus analytical reasoning problem solving mathematical modeling matlab mathematica python library simulation software,robotics mathematics control system optimization mechanical engineering aerospace,robotics engineer control system research scientist mathematical modeler simulation,robotics aerospace automotive research institute academia,High,3
cse, Introduction to Bioinformatics ,introduces computational approach biological problem student learn sequence analysis phylogenetics protein structure prediction genomics data emphasis placed practical application current research trend bioinformatics,analytical research theoritical,bioinformatics python statistic molecular biology data analysis machine learning research skill analytical thinking interdisciplinary communication scientific writing biopython bioconductor blast clustal pymol ncbi tool galaxy,bioinformatics computational biology genomics proteomics system personalized medicine,bioinformatics analyst computational biologist genomics researcher biotech consultant research scientist,biotechnology pharmaceutical healthcare research agriculture,Low,1
cse, Introduction to Data Science ,provides comprehensive introduction data science methodology tool student learn collection cleaning analysis visualization technique topic include statistical modeling machine learning application big processing,analytical practical theoritical,python statistic machine learning data visualization sql big technology analytical thinking communication problem solving business acumen storytelling panda numpy matplotlib tableau spark database,data science analytics business intelligence statistic machine learning engineering,data scientist analyst business intelligence research consultant,technology finance healthcare retail consulting,Medium,2
